latitude,longitude,elevation
35.428716000,138.851188000,987.1
35.425989000,138.849471000,988.2
35.423715000,138.849128000,989.4
35.413398000,138.860715000,993.1
35.409446000,138.862689000,995.3
35.408222000,138.867539000,997.2
35.407312100,138.873075000,989.7
35.407732000,138.876251000,990.8
35.404199000,138.875821000,1014.9
35.401296000,138.873118000,1041.6
35.400876000,138.869770000,1056.8
35.400281000,138.868655000,1065.0
35.400596000,138.867153000,1070.7
35.397623000,138.867067000,1086.2
35.394194000,138.863633000,1106.6
35.392095000,138.864234000,1107.9
35.391395000,138.865608000,1108.5
35.391535000,138.863548000,1101.0
35.384118000,138.857625000,1039.6
35.383908000,138.856166000,1044.1
35.383033000,138.855394000,1026.3
35.383488000,138.852475000,1025.7
35.382719000,138.851274000,1007.0
35.382649000,138.849901000,1015.1
35.380619000,138.849557000,988.5
35.379919000,138.850673000,976.6
35.381459000,138.850287000,987.0
35.382579000,138.853248000,976.1
35.381074000,138.854535000,946.3
35.381949000,138.858913000,936.2
35.376735000,138.858226000,897.9
35.373516000,138.860157000,884.3
35.369737000,138.859642000,859.0
35.368302000,138.857454000,848.8
35.365502000,138.859557000,838.0
35.364452000,138.859557000,828.4
35.362213000,138.862089000,812.4
35.361653000,138.864663000,799.2
35.362667000,138.865200000,798.7
35.362265000,138.868032000,787.7
35.358345000,138.876529000,768.0
35.356700000,138.879491000,757.8
35.355160000,138.880478000,750.6
35.351625000,138.884941000,695.2
35.354040000,138.883997000,699.5
35.352640000,138.885241000,680.5
35.352710000,138.887645000,688.9
35.350435000,138.891936100,648.9
35.351380000,138.894511100,631.2
35.352885000,138.904081100,594.2
35.353620000,138.917814100,543.9
35.352675000,138.921848100,530.5
35.352395000,138.923447300,528.4
35.351327500,138.923656200,521.5
35.351205000,138.923224200,518.8
35.350750000,138.922835100,522.0
35.349997500,138.923092600,522.5
35.348860000,138.922835100,522.5
35.347389000,138.924251100,520.5
35.346199000,138.924337100,517.7
35.340143000,138.919960100,523.5
35.339163000,138.917085100,533.9
35.339128000,138.914467100,544.9
35.328432000,138.912686100,538.1
35.325421000,138.911570100,543.9
35.323671000,138.909746100,538.5
35.323040000,138.908308100,542.8
35.321780000,138.907128100,543.4
35.319416000,138.906635100,548.2
35.316142000,138.906678100,546.8
35.311502000,138.904725100,551.4
35.303832000,138.905841100,522.4
35.300190000,138.907021100,506.5
35.299332000,138.908008100,505.9
35.290190000,138.890692100,513.7
35.285040000,138.884383000,529.2
35.283008000,138.883611000,542.3
35.282378000,138.881079000,547.0
35.279120000,138.878375000,553.7
35.277893000,138.875199000,556.2
35.270080000,138.870736000,541.0
35.265525000,138.869062000,547.3
35.260147000,138.861112000,558.0
35.254934000,138.857883000,556.2
35.253278000,138.856273000,565.4
35.252823000,138.853763000,570.5
35.252008000,138.852046000,576.0
35.252673000,138.849890000,582.4
35.252489000,138.848474000,589.5
35.251237000,138.847057000,590.3
35.253208000,138.843673000,609.9
35.251561000,138.839424000,641.8
35.251911000,138.838437000,651.6
35.251631000,138.836012000,661.0
35.252192000,138.834725000,681.5
35.252963000,138.834467000,686.2
35.253243000,138.831163000,717.6
35.254873000,138.830841000,733.4
35.257659000,138.824940000,787.5
35.258289000,138.825240000,795.6
35.259025000,138.821442000,817.8
35.260445000,138.820155000,833.3
35.261215000,138.815820000,840.0
35.260515000,138.813954000,843.0
35.261180000,138.810542000,866.8
35.269082000,138.802237900,934.1
35.269870000,138.797774900,953.5
35.270553000,138.797366900,959.5
35.271657000,138.797645900,963.5
35.279575000,138.794533900,1005.4
35.282711000,138.792881900,1024.3
35.282010000,138.791250900,1034.9
35.282588000,138.789834900,1049.3
35.279505000,138.784427900,1070.5
35.282500000,138.779020900,1112.0
35.282115000,138.775822900,1144.0
35.284445000,138.775887900,1161.8
35.287282000,138.778590900,1194.1
35.288561000,138.776294900,1221.0
35.290890000,138.781101900,1231.2
35.291521000,138.777839900,1257.4
35.290575000,138.775715900,1265.7
35.293657000,138.777045900,1287.5
35.292484000,138.773891900,1306.9
35.296214000,138.774556900,1342.9
35.294165000,138.770780900,1364.5
35.295023000,138.767046900,1388.4
35.296792000,138.768548900,1403.3
35.298736000,138.767583900,1423.0
35.301486000,138.769042900,1437.7
35.301608000,138.771144900,1431.7
35.304270000,138.772410900,1451.7
35.306704000,138.771702900,1448.4
35.307790000,138.775543900,1437.0
35.309681000,138.776144900,1427.3
35.312728000,138.784427900,1368.6
35.315879000,138.787302900,1349.6
35.318576000,138.788289900,1353.9
35.321902000,138.795714900,1345.8
35.323408000,138.796014900,1350.2
35.323828000,138.798460900,1331.1
35.330025000,138.802022900,1285.4
35.333387000,138.808846900,1240.8
35.329045000,138.811250000,1188.2
35.333632000,138.817172000,1140.3
35.332686000,138.820005000,1108.3
35.334787000,138.822236000,1081.3
35.332756000,138.824425000,1051.3
35.334752000,138.826442000,1027.2
35.332406000,138.826227000,1022.5
35.333457000,138.828502000,997.4
35.324318000,138.865709000,727.6
35.323513000,138.866353000,718.4
35.320887000,138.883047000,640.0
35.314409000,138.896179100,577.7
35.311589300,138.904634100,551.4
35.316370000,138.906179100,549.0
35.319451000,138.906222100,550.6
35.322252000,138.906865100,540.8
35.324003000,138.909569100,540.6
35.325579000,138.911157100,545.8
35.328765000,138.912316100,541.1
35.339461000,138.914311100,543.0
35.339408000,138.916993100,535.8
35.340336000,138.919804100,526.3
35.346374000,138.924031100,519.5
35.347372000,138.923989100,521.2
35.348790000,138.922594100,525.5
35.350881000,138.922680100,523.7
35.351256900,138.924192100,523.2
35.352692500,138.925265300,521.4
35.352833000,138.929042100,512.0
35.356061800,138.926263800,534.1
35.360388600,138.919188100,556.6
35.363945000,138.911940000,575.9
35.365835000,138.914043000,575.4
35.361531000,138.928076300,530.5
35.361391000,138.931938400,511.1
35.363578300,138.933118500,494.7
35.364820500,138.935242800,508.4
35.368888600,138.938676000,511.3
35.369715300,138.938075200,529.9
35.370251200,138.937442300,526.5
35.370230400,138.932973800,549.0
35.370424500,138.931841400,559.0
35.369044100,138.930747300,548.6
35.369215700,138.929422400,554.4
35.367091500,138.927495300,557.1
35.364696000,138.923976900,549.2
35.366131800,138.921466700,573.8
